Symbol,AvgCount,AvgProbability,AvgCodeLength,AvgTotalBits,AvgEntropy
 ,423.5,0.12626596417157998,3.0,1270.5,0.3763337933114693
e,246.5,0.07659192982593054,4.0,986.0,0.2838971768580246
o,215.0,0.06846644451121248,4.0,860.0,0.2646811970391352
t,207.0,0.06713731626326203,4.0,828.0,0.2611486273124537
a,188.5,0.060488504625854055,4.0,754.0,0.2445557980904289
i,180.5,0.05679108932912435,4.0,722.0,0.23496337132872797
r,167.0,0.051200702755221886,4.0,668.0,0.21951627130250317
n,162.0,0.05159968510634977,4.0,648.0,0.2205292395406632
s,141.0,0.04515036464450575,5.0,705.0,0.20161481114297064
l,124.5,0.03874274710567081,4.5,588.5,0.18169736252649213
c,101.5,0.030959176984278726,5.0,507.5,0.1551899455802372
d,105.5,0.03490290779117908,5.0,527.5,0.1684613986563575
"
",100.5,0.03256925123986936,5.0,502.5,0.16068394415830245
h,77.0,0.01994326451456822,6.0,405.0,0.10999049069970628
u,81.0,0.026255282370247816,5.0,405.0,0.13769456059385204
m,67.0,0.020376877363165638,5.5,385.0,0.11443316549271469
p,55.0,0.016379249796119044,6.0,330.0,0.09707478745980913
y,56.0,0.017319638516136836,6.0,336.0,0.1013448914120014
g,43.0,0.014567733351022526,6.0,258.0,0.0885122034631372
b,38.0,0.01278060458020033,6.0,228.0,0.08011510112885828
f,31.5,0.009218540875693099,7.0,220.5,0.062224336726633314
w,25.5,0.007037551165340628,7.5,183.0,0.04996727968587753
P,32.5,0.01125198515668593,6.5,215.5,0.07241354952882152
.,24.5,0.0070080420794687,7.0,171.5,0.04999387572757784
",",19.0,0.004750718948637607,7.5,135.0,0.03571029870137638
R,15.5,0.003463293623696235,9.0,110.5,0.02627554963912217
"""",15.0,0.0039039788978332043,8.0,109.0,0.03074797418144263
C,17.0,0.0054204044842104445,8.0,136.0,0.04078607384118521
k,14.0,0.003874469811961276,8.5,114.5,0.03085528729592299
I,17.5,0.005890598844219341,7.5,134.0,0.04350533023742481
T,10.5,0.002587044487019904,9.0,86.0,0.021626342021939887
•,17.0,0.0035986452159187127,8.0,136.0,0.029214990884524956
x,10.5,0.0029513963406782506,9.0,94.5,0.024701448475032615
L,8.5,0.0019814985347885294,9.5,77.0,0.016995872710321932
S,10.5,0.0033157481943365966,8.0,84.0,0.027305699504138956
>,15.0,0.0031752751905165114,9.0,135.0,0.026351299705086702
H,6.5,0.001558128509386328,10.0,59.5,0.014048929123717097
(,6.0,0.0014522860030357777,9.0,49.0,0.013282630325478998
),6.0,0.0014522860030357777,10.0,55.0,0.013282630325478998
W,10.0,0.0021168501270110076,9.0,90.0,0.018805811080672724
:,7.5,0.002498517229404121,9.0,67.5,0.02155674070386908
[,9.0,0.001905165114309907,9.0,81.0,0.01721482096350415
],9.0,0.001905165114309907,9.0,81.0,0.01721482096350415
E,5.0,0.00142277691716385,9.5,46.0,0.013417927226433896
v,10.0,0.004302961248961085,8.0,78.0,0.03259879194872391
A,7.0,0.002574850649882744,9.0,64.0,0.021924963495284985
F,4.5,0.0013169344108132997,10.0,45.0,0.012586293261171364
j,4.0,0.0010289159776335761,10.0,37.0,0.01006280500297883
D,5.5,0.002257323130831093,9.0,49.0,0.019360714953516538
с,5.0,0.0010584250635055038,10.0,50.0,0.010461330603841867
/,4.0,0.0013932678312919226,9.5,38.5,0.013159745427257907
q,5.0,0.0019693046976513697,9.5,47.5,0.01738450046545365
!,5.0,0.0019693046976513697,9.5,47.5,0.01738450046545365
',3.5,0.001105249398112199,10.0,35.0,0.010853678684665448
中,4.0,0.000846740050804403,10.0,40.0,0.008641653894493782
文,4.0,0.000846740050804403,11.0,44.0,0.008641653894493782
к,4.0,0.000846740050804403,11.0,44.0,0.008641653894493782
U,3.5,0.001287425324941372,9.5,33.5,0.012249907072583863
=,4.0,0.000846740050804403,10.0,40.0,0.008641653894493782
M,4.5,0.0018634621913008191,9.0,40.0,0.016474662110779605
ó,4.0,0.0015754437581210956,9.5,38.0,0.014414779980017028
ç,3.0,0.0006350550381033022,10.0,30.0,0.006744812075789162
у,3.0,0.0006350550381033022,11.0,33.0,0.006744812075789162
8,3.0,0.0006350550381033022,11.0,33.0,0.006744812075789162
-,3.5,0.001469601251770545,9.5,33.0,0.013466359070664718
N,2.5,0.0008935643854110981,10.0,25.5,0.008995419420639096
B,2.0,0.0006055459522313746,11.0,22.0,0.006471931162446562
简,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
体,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
體,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
ñ,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
日,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
本,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
語,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
ü,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
ê,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
и,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
й,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
O,2.0,0.0007877218790605478,11.0,22.0,0.007995111869069062
Y,2.5,0.0010757403122402713,10.0,24.5,0.01030117861166152
_,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
í,2.0,0.0007877218790605478,10.5,21.0,0.007995111869069062
2,2.0,0.0007877218790605478,11.0,22.0,0.007995111869069062
р,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
а,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
λ,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
正,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ä,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
å,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
한,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
국,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
어,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
z,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ह,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ि,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
न,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
्,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
द,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ी,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
Р,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ف,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ا,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ر,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
س,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ی,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
—,2.0,0.0009698978058897209,10.5,19.5,0.009220971874849796
@,2.0,0.0009698978058897209,10.5,19.5,0.009220971874849796
1,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
6,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
3,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
J,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
V,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
G,1.5,0.0006818793727099973,10.5,15.0,0.006914905132257339
é,1.0,0.0003938609395302739,11.5,11.5,0.0043914168740648045
¡,1.0,0.0003938609395302739,11.5,11.5,0.0043914168740648045
©,1.0,0.0003938609395302739,12.0,12.0,0.0043914168740648045
0,1.0,0.0003938609395302739,12.0,12.0,0.0043914168740648045
5,1.0,0.0003938609395302739,11.5,11.5,0.0043914168740648045
ї,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
н,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ь,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
Ε,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
η,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ν,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ι,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
κ,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ά,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
繁,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ע,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ב,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ר,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
י,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ת,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
