Symbol,Count,Probability,InverseProbability,MutualInformation,Entropy,Code,CodeLength,TotalBits,AvgCodeLength
 ,201,0.11578341013824885,8.63681592039801,3.1104995412655505,0.3601442441211841,000,3,603,0.34735023041474655
e,134,0.0771889400921659,12.955223880597016,3.695462041986707,0.285248798171785,0010,4,536,0.3087557603686636
t,128,0.07373271889400922,13.5625,3.7615512324444795,0.27734939962724275,0011,4,512,0.29493087557603687
o,126,0.07258064516129033,13.777777777777777,3.7842713089445628,0.274664853068557,0100,4,504,0.2903225806451613
a,113,0.06509216589861751,15.36283185840708,3.9413722700292917,0.25655245766895735,0101,4,452,0.26036866359447003
i,102,0.0587557603686636,17.019607843137255,4.0891258904729835,0.24025970093792876,0110,4,408,0.2350230414746544
n,95,0.054723502304147464,18.273684210526316,4.191695624113532,0.2293842651444617,0111,4,380,0.21889400921658986
r,87,0.05011520737327189,19.95402298850575,4.318607736595751,0.2164279222833124,1000,4,348,0.20046082949308755
s,84,0.04838709677419355,20.666666666666668,4.369233809665719,0.2114145391773735,10010,5,420,0.24193548387096775
d,69,0.039746543778801845,25.15942028985507,4.65302677566631,0.1849417324429582,10011,5,345,0.19873271889400923
l,68,0.03917050691244239,25.529411764705884,4.67408839119414,0.18308641163663683,1010,4,272,0.15668202764976957
"
",62,0.03571428571428571,28.0,4.807354922057605,0.17169124721634302,10110,5,310,0.17857142857142855
c,52,0.029953917050691243,33.38461538461539,5.061111514303387,0.151600114483742,10111,5,260,0.1497695852534562
u,50,0.02880184331797235,34.72,5.117695042669754,0.14739905076813808,11000,5,250,0.14400921658986177
m,34,0.019585253456221197,51.05882352941177,5.67408839119414,0.11112845927453961,11001,5,170,0.09792626728110598
g,30,0.01728110599078341,57.86666666666666,5.854660636835961,0.10117501100522974,110100,6,180,0.10368663594470047
y,30,0.01728110599078341,57.86666666666666,5.854660636835961,0.10117501100522974,110101,6,180,0.10368663594470047
b,26,0.014976958525345621,66.76923076923077,6.061111514303387,0.09077701576721663,110110,6,156,0.08986175115207373
p,26,0.014976958525345621,66.76923076923077,6.061111514303387,0.09077701576721663,110111,6,156,0.08986175115207373
P,24,0.013824884792626729,72.33333333333333,6.1765887317233235,0.08539062762751139,111000,6,144,0.08294930875576037
h,20,0.01152073732718894,86.8,6.439623137557117,0.07418920665388384,1110010,7,140,0.08064516129032258
f,14,0.008064516129032258,124.0,6.954196310386875,0.05608222830957157,1110011,7,98,0.056451612903225805
I,12,0.0069124423963133645,144.66666666666666,7.1765887317233235,0.04960775621006906,1110100,7,84,0.048387096774193554
v,12,0.0069124423963133645,144.66666666666666,7.1765887317233235,0.04960775621006906,1110101,7,84,0.048387096774193554
.,10,0.00576036866359447,173.6,7.439623137557117,0.04285497199053639,1110110,7,70,0.04032258064516129
C,10,0.00576036866359447,173.6,7.439623137557117,0.04285497199053639,11101110,8,80,0.04608294930875576
w,9,0.005184331797235023,192.88888888888889,7.5916262310021665,0.03935750926210801,11101111,8,72,0.041474654377880185
S,6,0.0034562211981566822,289.3333333333333,8.176588731723323,0.02826009930319121,11110000,8,48,0.027649769585253458
D,6,0.0034562211981566822,289.3333333333333,8.176588731723323,0.02826009930319121,11110001,8,48,0.027649769585253458
A,6,0.0034562211981566822,289.3333333333333,8.176588731723323,0.02826009930319121,11110010,8,48,0.027649769585253458
!,5,0.002880184331797235,347.2,8.439623137557117,0.02430767032706543,111100110,9,45,0.025921658986175117
k,5,0.002880184331797235,347.2,8.439623137557117,0.02430767032706543,111100111,9,45,0.025921658986175117
q,5,0.002880184331797235,347.2,8.439623137557117,0.02430767032706543,111101000,9,45,0.025921658986175117
:,5,0.002880184331797235,347.2,8.439623137557117,0.02430767032706543,111101001,9,45,0.025921658986175117
M,5,0.002880184331797235,347.2,8.439623137557117,0.02430767032706543,11110101,8,40,0.02304147465437788
",",4,0.002304147465437788,434.0,8.761551232444479,0.020187906065540273,11110110,8,32,0.018433179723502304
x,4,0.002304147465437788,434.0,8.761551232444479,0.020187906065540273,111101110,9,36,0.020737327188940093
-,4,0.002304147465437788,434.0,8.761551232444479,0.020187906065540273,111101111,9,36,0.020737327188940093
ó,4,0.002304147465437788,434.0,8.761551232444479,0.020187906065540273,111110000,9,36,0.020737327188940093
"""",4,0.002304147465437788,434.0,8.761551232444479,0.020187906065540273,111110001,9,36,0.020737327188940093
/,3,0.0017281105990783411,578.6666666666666,9.176588731723323,0.015858160250673946,111110010,9,27,0.01555299539170507
Y,3,0.0017281105990783411,578.6666666666666,9.176588731723323,0.015858160250673946,111110011,9,27,0.01555299539170507
—,3,0.0017281105990783411,578.6666666666666,9.176588731723323,0.015858160250673946,111110100,9,27,0.01555299539170507
U,3,0.0017281105990783411,578.6666666666666,9.176588731723323,0.015858160250673946,111110101,9,27,0.01555299539170507
@,3,0.0017281105990783411,578.6666666666666,9.176588731723323,0.015858160250673946,111110110,9,27,0.01555299539170507
',2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,1111101110,10,20,0.01152073732718894
O,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,1111101111,10,20,0.01152073732718894
G,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,111111000,9,18,0.010368663594470046
E,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,1111110010,10,20,0.01152073732718894
í,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,1111110011,10,20,0.01152073732718894
N,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,111111010,9,18,0.010368663594470046
T,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,1111110110,10,20,0.01152073732718894
F,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,1111110111,10,20,0.01152073732718894
2,2,0.001152073732718894,868.0,9.761551232444479,0.01124602676548903,1111111000,10,20,0.01152073732718894
(,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,1111111001,10,10,0.00576036866359447
),1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111110100,11,11,0.006336405529953917
j,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111110101,11,11,0.006336405529953917
R,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111110110,11,11,0.006336405529953917
B,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111110111,11,11,0.006336405529953917
L,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,1111111100,10,10,0.00576036866359447
H,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111111010,11,11,0.006336405529953917
é,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111111011,11,11,0.006336405529953917
¡,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111111100,11,11,0.006336405529953917
©,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111111101,11,11,0.006336405529953917
0,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111111110,11,11,0.006336405529953917
5,1,0.000576036866359447,1736.0,10.761551232444479,0.0061990502491039625,11111111111,11,11,0.006336405529953917
